ID;USED_NOW;STATUS;PHASE;TEXT;PRIMARY_LOCATION;ALL_LOCATIONS
0001;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;01_BOOT_SPLASH;Fakta: tämä peli ei sisällä yhtään kiireetöntä hetkeä.;src/scenes/Preloader.ts:89;src/scenes/Preloader.ts:89
0002;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;01_BOOT_SPLASH;Vinkki: jos paniikki nousee, paina silti eteenpäin.;src/scenes/Preloader.ts:90;src/scenes/Preloader.ts:90
0003;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;01_BOOT_SPLASH;Muistutus: kahvi ei korvaa jarrutusta.;src/scenes/Preloader.ts:91;src/scenes/Preloader.ts:91
0004;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;01_BOOT_SPLASH;Säävaroitus: paikallista draamaa ladulla.;src/scenes/Preloader.ts:92;src/scenes/Preloader.ts:92
0005;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;01_BOOT_SPLASH;Päivän mantra: rauha, rytmi, raivo tarvittaessa.;src/scenes/Preloader.ts:93;src/scenes/Preloader.ts:93
0006;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;01_BOOT_SPLASH;Konsepti - Kenneth Sipilä\nTuotanto - Mikko Antikainen;src/scenes/SplashScene.ts:29;src/scenes/SplashScene.ts:29
0007;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;01_BOOT_SPLASH;Napauta ruutua ohittaaksesi;src/scenes/SplashScene.ts:41;src/scenes/SplashScene.ts:41
0008;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;01_BOOT_SPLASH;esittää;src/scenes/UberIntroScene.ts:39;src/scenes/UberIntroScene.ts:39
0009;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;02_TITLE_MENU;▶ NAPAUTA ALOITTAAKSESI ◀;src/scenes/TitleScreen.ts:29;src/scenes/TitleScreen.ts:29
0010;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;02_TITLE_MENU;Taistele tiesi läpi Espoon latujen!;src/scenes/TitleScreen.ts:30;src/scenes/TitleScreen.ts:30
0011;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;03_NAME_INPUT;Enter;src/scenes/NameInputScene.ts:277;src/scenes/NameInputScene.ts:277
0012;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;03_NAME_INPUT;difficulty-${...};src/scenes/NameInputScene.ts:315;src/scenes/NameInputScene.ts:315
0013;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;03_NAME_INPUT;HIIHTÄJÄ;src/scenes/NameInputScene.ts:347;src/managers/AuthManager.ts:245 | src/scenes/NameInputScene.ts:347
0014;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;03_NAME_INPUT;HEMOHES;src/scenes/NameInputScene.ts:359;src/scenes/NameInputScene.ts:359
